district,year,month_num,true_severity,predicted_severity,interval_low,interval_high,confidence_pct,interval_label
Monaragala,2019,12,LOW,LOW,LOW,MEDIUM,79.0,"[LOW, MEDIUM]"
Monaragala,2020,1,MEDIUM,MEDIUM,LOW,MEDIUM,74.0,"[LOW, MEDIUM]"
Monaragala,2020,2,MEDIUM,MEDIUM,LOW,MEDIUM,90.0,"[LOW, MEDIUM]"
Monaragala,2020,10,MEDIUM,MEDIUM,LOW,MEDIUM,90.0,"[LOW, MEDIUM]"
Monaragala,2020,11,MEDIUM,MEDIUM,MEDIUM,HIGH,76.0,"[MEDIUM, HIGH]"
Monaragala,2022,12,LOW,LOW,LOW,MEDIUM,58.0,"[LOW, MEDIUM]"
Monaragala,2023,1,MEDIUM,MEDIUM,LOW,MEDIUM,72.0,"[LOW, MEDIUM]"
Monaragala,2024,1,LOW,MEDIUM,LOW,MEDIUM,68.0,"[LOW, MEDIUM]"
Monaragala,2024,2,LOW,MEDIUM,LOW,MEDIUM,90.0,"[LOW, MEDIUM]"
Monaragala,2024,3,LOW,MEDIUM,MEDIUM,MEDIUM,95.0,"[MEDIUM, MEDIUM]"
Monaragala,2024,10,LOW,MEDIUM,LOW,HIGH,74.0,"[LOW, HIGH]"
Monaragala,2024,11,LOW,MEDIUM,LOW,HIGH,46.0,"[LOW, HIGH]"
Monaragala,2024,12,LOW,MEDIUM,LOW,MEDIUM,52.0,"[LOW, MEDIUM]"
Kegalle,2017,1,LOW,LOW,LOW,LOW,99.0,"[LOW, LOW]"
Kegalle,2018,9,LOW,LOW,LOW,LOW,96.0,"[LOW, LOW]"
Kegalle,2019,1,LOW,LOW,LOW,MEDIUM,89.0,"[LOW, MEDIUM]"
Kegalle,2020,10,LOW,LOW,LOW,LOW,99.0,"[LOW, LOW]"
Kegalle,2022,2,LOW,LOW,LOW,MEDIUM,69.0,"[LOW, MEDIUM]"
Kegalle,2022,5,LOW,LOW,LOW,LOW,98.0,"[LOW, LOW]"
