feature,mean_abs_shap
buffalo_density,0.05364290245715369
lat,0.04820213611709885
lon,0.03432687778137738
livestock_density,0.0316065889244829
wind_speed,0.023731439305640256
temp_lag1,0.018826997948482964
humidity,0.018280638238810425
humidity_lag1,0.017232210636729563
wind_lag1,0.01581080947838997
rainfall_mm,0.011533247929920585
rain_lag1,0.010503110675213038
rain_lag2,0.010380902191347408
rfq_lag1,0.009999323017935517
r3h,0.009310348442204318
rfq,0.008880855493839995
cos_month,0.004470836552130386
sin_month,0.004157835253377617
monsoon_phase_NE_Monsoon,0.0016661781510852723
monsoon_phase_First_Inter_Monsoon,0.0016332420678633977
monsoon_phase_Second_Inter_Monsoon,0.0010573103090246937
monsoon_phase_SW_Monsoon,0.0007307972786159341
