year,District,month,Outbreak status,date
2017,Kegalle,October,0,2017-10-01
2017,Kegalle,November,0,2017-11-01
2017,Kegalle,December,0,2017-12-01
2017,Kilinochchi,January,0,2017-01-01
2017,Kilinochchi,February,0,2017-02-01
2017,Kilinochchi,March,0,2017-03-01
2017,Kilinochchi,April,0,2017-04-01
2017,Kilinochchi,May,0,2017-05-01
2017,Kilinochchi,June,0,2017-06-01
2017,Kilinochchi,July,0,2017-07-01
2017,Kilinochchi,August,0,2017-08-01
2017,Kilinochchi,September,0,2017-09-01
2017,Kilinochchi,October,0,2017-10-01
2017,Kilinochchi,November,0,2017-11-01
2017,Kilinochchi,December,0,2017-12-01
2017,Kurunegala,January,1,2017-01-01
2017,Kurunegala,February,0,2017-02-01
2017,Kurunegala,March,0,2017-03-01
2017,Kurunegala,April,0,2017-04-01
2017,Kurunegala,May,0,2017-05-01
2017,Kurunegala,June,0,2017-06-01
2017,Kurunegala,July,0,2017-07-01
2017,Kurunegala,August,0,2017-08-01
2017,Kurunegala,September,0,2017-09-01
2017,Kurunegala,October,0,2017-10-01
2017,Kurunegala,November,0,2017-11-01
2017,Kurunegala,December,0,2017-12-01
2017,Mannar,January,0,2017-01-01
2017,Mannar,February,0,2017-02-01
2017,Mannar,March,0,2017-03-01
2017,Mannar,April,0,2017-04-01
2017,Mannar,May,0,2017-05-01
2017,Mannar,June,0,2017-06-01
2017,Mannar,July,0,2017-07-01
2017,Mannar,August,0,2017-08-01
2017,Mannar,September,0,2017-09-01
2017,Mannar,October,0,2017-10-01
2017,Mannar,November,0,2017-11-01
2017,Mannar,December,0,2017-12-01
2017,Matale,January,0,2017-01-01
2017,Matale,February,0,2017-02-01
2017,Matale,March,0,2017-03-01
2017,Matale,April,0,2017-04-01
2017,Matale,May,0,2017-05-01
2017,Matale,June,0,2017-06-01
2017,Matale,July,0,2017-07-01
2017,Matale,August,0,2017-08-01
2017,Matale,September,0,2017-09-01
2017,Matale,October,0,2017-10-01
2017,Matale,November,0,2017-11-01
2017,Matale,December,0,2017-12-01
2017,Matara,January,0,2017-01-01
2017,Matara,February,0,2017-02-01
2017,Matara,March,0,2017-03-01
2017,Matara,April,0,2017-04-01
2017,Matara,May,0,2017-05-01
2017,Matara,June,0,2017-06-01
2017,Matara,July,0,2017-07-01
2017,Matara,August,0,2017-08-01
2017,Matara,September,0,2017-09-01
2017,Matara,October,0,2017-10-01
2017,Matara,November,0,2017-11-01
2017,Matara,December,0,2017-12-01
2017,Moneragala,January,1,2017-01-01
2017,Moneragala,February,0,2017-02-01
2017,Moneragala,March,0,2017-03-01
2017,Moneragala,April,0,2017-04-01
2017,Moneragala,May,0,2017-05-01
2017,Moneragala,June,0,2017-06-01
2017,Moneragala,July,0,2017-07-01
2017,Moneragala,August,0,2017-08-01
2017,Moneragala,September,0,2017-09-01
2017,Moneragala,October,0,2017-10-01
2017,Moneragala,November,0,2017-11-01
2017,Moneragala,December,0,2017-12-01
2017,Mullaitivu,January,0,2017-01-01
2017,Mullaitivu,February,0,2017-02-01
2017,Mullaitivu,March,0,2017-03-01
2017,Mullaitivu,April,1,2017-04-01
2017,Mullaitivu,May,0,2017-05-01
2017,Mullaitivu,June,0,2017-06-01
2017,Mullaitivu,July,0,2017-07-01
2017,Mullaitivu,August,0,2017-08-01
2017,Mullaitivu,September,1,2017-09-01
2017,Mullaitivu,October,0,2017-10-01
2017,Mullaitivu,November,0,2017-11-01
2017,Mullaitivu,December,0,2017-12-01
2017,Nuwara Eliya,January,0,2017-01-01
2017,Nuwara Eliya,February,0,2017-02-01
2017,Nuwara Eliya,March,0,2017-03-01
2017,Nuwara Eliya,April,0,2017-04-01
2017,Nuwara Eliya,May,0,2017-05-01
2017,Nuwara Eliya,June,0,2017-06-01
2017,Nuwara Eliya,July,0,2017-07-01
2017,Nuwara Eliya,August,0,2017-08-01
2017,Nuwara Eliya,September,0,2017-09-01
2017,Nuwara Eliya,October,0,2017-10-01
2017,Nuwara Eliya,November,0,2017-11-01
2017,Nuwara Eliya,December,0,2017-12-01
2017,Polonnaruwa,January,0,2017-01-01
2017,Polonnaruwa,February,1,2017-02-01
2017,Polonnaruwa,March,0,2017-03-01
2017,Polonnaruwa,April,0,2017-04-01
2017,Polonnaruwa,May,0,2017-05-01
2017,Polonnaruwa,June,0,2017-06-01
2017,Polonnaruwa,July,0,2017-07-01
2017,Polonnaruwa,August,0,2017-08-01
2017,Polonnaruwa,September,0,2017-09-01
2017,Polonnaruwa,October,0,2017-10-01
2017,Polonnaruwa,November,0,2017-11-01
2017,Polonnaruwa,December,0,2017-12-01
2017,Puttalam,January,0,2017-01-01
2017,Puttalam,February,0,2017-02-01
2017,Puttalam,March,0,2017-03-01
2017,Puttalam,April,0,2017-04-01
2017,Puttalam,May,0,2017-05-01
2017,Puttalam,June,0,2017-06-01
2017,Puttalam,July,0,2017-07-01
2017,Puttalam,August,0,2017-08-01
2017,Puttalam,September,0,2017-09-01
2017,Puttalam,October,0,2017-10-01
2017,Puttalam,November,0,2017-11-01
2017,Puttalam,December,0,2017-12-01
2017,Ratnapura,January,0,2017-01-01
2017,Ratnapura,February,0,2017-02-01
2017,Ratnapura,March,0,2017-03-01
2017,Ratnapura,April,0,2017-04-01
2017,Ratnapura,May,0,2017-05-01
2017,Ratnapura,June,0,2017-06-01
2017,Ratnapura,July,0,2017-07-01
2017,Ratnapura,August,0,2017-08-01
2017,Ratnapura,September,0,2017-09-01
2017,Ratnapura,October,0,2017-10-01
2017,Ratnapura,November,0,2017-11-01
2017,Ratnapura,December,0,2017-12-01
2017,Trincomalee,January,0,2017-01-01
2017,Trincomalee,February,0,2017-02-01
2017,Trincomalee,March,0,2017-03-01
2017,Trincomalee,April,0,2017-04-01
2017,Trincomalee,May,0,2017-05-01
2017,Trincomalee,June,0,2017-06-01
2017,Trincomalee,July,0,2017-07-01
2017,Trincomalee,August,0,2017-08-01
2017,Trincomalee,September,0,2017-09-01
2017,Trincomalee,October,0,2017-10-01
2017,Trincomalee,November,0,2017-11-01
2017,Trincomalee,December,0,2017-12-01
2017,Vavuniya,January,0,2017-01-01
2017,Vavuniya,February,0,2017-02-01
2017,Vavuniya,March,0,2017-03-01
2017,Vavuniya,April,0,2017-04-01
2017,Vavuniya,May,0,2017-05-01
2017,Vavuniya,June,0,2017-06-01
2017,Vavuniya,July,0,2017-07-01
2017,Vavuniya,August,0,2017-08-01
2017,Vavuniya,September,0,2017-09-01
2017,Vavuniya,October,0,2017-10-01
2017,Vavuniya,November,0,2017-11-01
2017,Vavuniya,December,0,2017-12-01
2018,Ampara,January,1,2018-01-01
2018,Ampara,February,1,2018-02-01
2018,Ampara,March,0,2018-03-01
2018,Ampara,April,1,2018-04-01
2018,Ampara,May,1,2018-05-01
2018,Ampara,June,1,2018-06-01
2018,Ampara,July,0,2018-07-01
2018,Ampara,August,0,2018-08-01
2018,Ampara,September,0,2018-09-01
2018,Ampara,October,0,2018-10-01
2018,Ampara,November,0,2018-11-01
2018,Ampara,December,0,2018-12-01
2018,Anuradhapura,January,0,2018-01-01
2018,Anuradhapura,February,1,2018-02-01
2018,Anuradhapura,March,1,2018-03-01
2018,Anuradhapura,April,0,2018-04-01
2018,Anuradhapura,May,0,2018-05-01
2018,Anuradhapura,June,0,2018-06-01
2018,Anuradhapura,July,0,2018-07-01
2018,Anuradhapura,August,0,2018-08-01
2018,Anuradhapura,September,0,2018-09-01
2018,Anuradhapura,October,1,2018-10-01
2018,Anuradhapura,November,1,2018-11-01
2018,Anuradhapura,December,1,2018-12-01
2018,Badulla,January,1,2018-01-01
2018,Badulla,February,1,2018-02-01
2018,Badulla,March,0,2018-03-01
2018,Badulla,April,0,2018-04-01
2018,Badulla,May,0,2018-05-01
2018,Badulla,June,0,2018-06-01
2018,Badulla,July,0,2018-07-01
2018,Badulla,August,0,2018-08-01
2018,Badulla,September,0,2018-09-01
2018,Badulla,October,0,2018-10-01
2018,Badulla,November,0,2018-11-01
2018,Badulla,December,0,2018-12-01
2018,Batticaloa,January,1,2018-01-01
